id,fen,solution_ucis,category,sub_level,difficulty,title,theme,prompt,rating,rating_label,tags,explanation,active,source,lichess_id,nb_plays,popularity,opening_tags
lc_DGEyG,rn2k2r/pQ2nppp/2p5/8/4p1bN/P5P1/P1qP1PBP/R1B1K2R b KQkq - 2 11,"{""c2d1""}",pawn,1,beginner,Pawn 1 · Mate In1,mateIn1,Black to move.,789,Novice,"{""mate"",""mateIn1"",""oneMove"",""opening""}",Checkmate in one — find the single move that ends the game immediately.,true,lichess,DGEyG,6400,95,"{""Kings_Pawn_Game"",""Kings_Pawn_Game_Other_variations""}"
lc_9sdyh,r2q1rk1/bpp2pp1/p2p1n1p/3Np3/1PP1P1b1/P5P1/1B1PQPBP/R4RK1 w - - 1 13,"{""d5f6"",""d8f6"",""e2g4""}",pawn,1,beginner,Pawn 1 · Crushing,crushing,White to move.,901,Novice,"{""crushing"",""kingsideAttack"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,9sdyh,10404,96,"{""Kings_Pawn_Game"",""Kings_Pawn_Game_Other_variations""}"
lc_zG7G6,r1bq1rnk/pp3p1n/2pp1P1Q/2b1p3/2B1P3/2NP1N2/PPP3PP/R4R1K w - - 1 15,"{""h6g7""}",pawn,1,beginner,Pawn 1 · Mate In1,mateIn1,White to move.,921,Novice,"{""mate"",""mateIn1"",""middlegame"",""oneMove""}",Checkmate in one — find the single move that ends the game immediately.,true,lichess,zG7G6,15747,100,"{""Bishops_Opening"",""Bishops_Opening_Vienna_Hybrid""}"
lc_nCEuI,r2q1rk1/pQp3b1/3p2pp/4p3/8/1PPb3P/1P1NNPP1/R4RK1 w - - 0 17,"{""b7d5"",""g8h7"",""d5d3""}",pawn,1,beginner,Pawn 1 · Fork,fork,White to move.,924,Novice,"{""advantage"",""fork"",""middlegame"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,nCEuI,5298,96,"{""Kings_Pawn_Game"",""Kings_Pawn_Game_Wayward_Queen_Attack""}"
lc_opcFP,krQ5/3p3p/p7/P7/8/4r3/1PP2qPP/6RK w - - 2 30,"{""c8a6""}",pawn,1,beginner,Pawn 1 · Mate In1,mateIn1,White to move.,938,Novice,"{""endgame"",""mate"",""mateIn1"",""oneMove""}",Checkmate in one — find the single move that ends the game immediately.,true,lichess,opcFP,6022,97,{}
lc_OqK7n,r2qk2r/pppn3p/3bBp2/4p1p1/3n4/2NP4/PPP2PPP/R1BQK2R w KQkq - 2 11,"{""d1h5"",""e8e7"",""h5f7""}",pawn,1,beginner,Pawn 1 · Mate In2,mateIn2,White to move.,939,Novice,"{""mate"",""mateIn2"",""opening"",""short""}",Checkmate in two — a forced sequence that delivers checkmate on move two.,true,lichess,OqK7n,5159,97,"{""Scandinavian_Defense"",""Scandinavian_Defense_Other_variations""}"
lc_trjCm,r1b1r1k1/2p2ppp/2p5/p2pq3/P4Q2/1BP1P3/2P3PP/R4RK1 w - - 0 17,"{""f4f7"",""g8h8"",""f7f8"",""e8f8"",""f1f8""}",pawn,1,beginner,Pawn 1 · Mate In3,mateIn3,White to move.,941,Novice,"{""backRankMate"",""long"",""mate"",""mateIn3"",""middlegame"",""sacrifice""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,trjCm,6224,98,"{""Italian_Game"",""Italian_Game_Other_variations""}"
lc_I0gjb,6k1/1Q3pp1/p4q1p/8/P3P3/5P2/3r2PP/2R3K1 b - - 0 27,"{""f6d4"",""g1h1"",""d2d1"",""c1d1"",""d4d1""}",pawn,1,beginner,Pawn 1 · Mate In3,mateIn3,Black to move.,941,Novice,"{""backRankMate"",""endgame"",""long"",""mate"",""mateIn3""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,I0gjb,4881,97,{}
lc_ivT2L,4rrk1/7p/p1p1qBp1/2p1P3/P6Q/8/1PP5/6RK w - - 2 27,"{""g1g6"",""h7g6"",""h4h8"",""g8f7"",""h8g7""}",pawn,1,beginner,Pawn 1 · Mate In3,mateIn3,White to move.,943,Novice,"{""endgame"",""epauletteMate"",""long"",""mate"",""mateIn3"",""sacrifice""}",Checkmate in three — calculate the forcing line all the way to mate.,true,lichess,ivT2L,4858,97,{}
lc_RCz4L,r1r3k1/3n1ppp/p3p3/Np6/1P2p3/P1q1Q3/2P2PPP/3RK2R w K - 0 21,"{""e3c3"",""c8c3"",""d1d7""}",pawn,1,beginner,Pawn 1 · Advantage,advantage,White to move.,944,Novice,"{""advantage"",""middlegame"",""short""}",Find the strongest continuation and seize the advantage.,true,lichess,RCz4L,15802,98,{}
lc_rh4xq,6r1/p4p2/1pB4p/3pkP2/P1n3PP/1KP5/2P5/3R4 b - - 11 29,"{""c4a5"",""b3a3"",""a5c6""}",pawn,1,beginner,Pawn 1 · Fork,fork,Black to move.,947,Novice,"{""crushing"",""endgame"",""fork"",""short""}","A fork — one piece attacks two enemy pieces at once, forcing a material win.",true,lichess,rh4xq,5994,97,{}
